Training Iteration	Loss
1	0.18259669700551098
2	0.17410791406588458
3	0.10453530149145551
4	0.015451509583084954
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0030379308510847603
12	0.07888881885612199
13	0.11956847630059568
14	0.09050108330153901
15	0.05579005226599891
16	0.007411712163929825
17	0.0017364870629219475
18	0.0007385451518592047
19	0.0005277876406828291
20	0.001212268297412125
21	0.002101181749242463
22	0.005295752517412804
23	0.006975201437452653
24	0.007429494259874204
25	0.012226652076154726
26	0.062037315561085826
27	0.09675060987788396
28	0.12094952222829758
29	0.13377629865057103
30	0.13890468048756086
31	0.1401931183054671
32	0.1390086081077662
33	0.14694831838833247
34	0.20004742635269498
35	0.21847650135128907
36	0.22305190605270991
37	0.2238558396712284
38	0.23748678852234525
39	0.2560288599815943
40	0.29076093613176496
41	0.341469331964044
42	0.36947491615254857
43	0.3847286819308517
44	0.41279201963172996
45	0.4420886642595772
46	0.45435282616748723
47	0.45100432505049926
48	0.448591327215797
49	0.47258230482915126
50	0.48573612571136543
51	0.4871728701506292
52	0.48158607681806176
53	0.46283688028261355
54	0.44502952842016813
55	0.44726439663339573
56	0.45159976798248924
57	0.4559254052590652
58	0.46267704870465165
59	0.4708633597095791
60	0.47712614667887376
61	0.4704068553523593
62	0.4681856996244747
63	0.46532781208744595
64	0.4759995056628201
65	0.5115215757743223
66	0.5440649051039363
67	0.5594958095155664
68	0.5576709840010936
69	0.5560575490546731
70	0.5753791562929361
71	0.6039342559082488
72	0.6188640533013978
73	0.6210561734456838
74	0.6214921668425251
75	0.6264396243441442
76	0.6359407947482488
77	0.6471998701598237
78	0.6549800712433512
79	0.6596835697467655
80	0.663021564008387
81	0.6660542595798136
82	0.6676673272084971
83	0.6729296197421946
84	0.6805788185057254
85	0.6808415287410207
86	0.6818665335823969
87	0.6864896419210267
88	0.6857320656747169
89	0.6904448458002769
90	0.6939527017341887
91	0.6942573271542922
92	0.6954858943353408
93	0.6995200212242203
94	0.6996258216934272
95	0.7033627639386647
96	0.7054240360727296
97	0.7033516442923496
98	0.7086568386548471
99	0.7082375897513079
100	0.7084507829559817
101	0.7133541717139633
102	0.7101998942116087
103	0.7161965705854472
104	0.7148324867304217
105	0.7168791895597053
106	0.7186779055519784
107	0.7172439792988299
108	0.7192711871545611
109	0.7204245945710003
110	0.7213928879049297
111	0.7179302012369172
112	0.7248229073889245
113	0.7071649549399575
114	0.724847789936675
115	0.7231919622595042
116	0.7186111415985049
117	0.725378447963079
118	0.7236692903049745
119	0.7239763447797631
120	0.7267864116126194
121	0.7241697586973953
122	0.7281148984142647
123	0.7291981223673124
124	0.7251554854242438
125	0.730461572433718
126	0.730104541185545
127	0.7273432203720269
128	0.7324001752728089
129	0.7297258139755146
130	0.7299297322770384
131	0.7337496037764936
132	0.7289308466327247
133	0.7335782593898046
134	0.7337472915836003
135	0.7327546139575382
136	0.7353713743166076
137	0.733704675849376
138	0.73683107256716
139	0.7340409634129013
140	0.7387260536501852
141	0.7312265984035328
142	0.7394814633796633
143	0.7272584765681838
144	0.7401899860572154
145	0.7380760611109193
